IFN_y MIP_1a {'unsigned_weighted_rho': 0.19976247960773347, 'weighted_rho': 0.19976247960773347, 'rho': 0.7508313888704464, 'sign': 'positive'}
IFN_y IL_23 {'unsigned_weighted_rho': 0.14969078196327534, 'weighted_rho': 0.14969078196327534, 'rho': 0.562630870137828, 'sign': 'positive'}
IFN_y GM_CSF {'unsigned_weighted_rho': 0.14896985437938917, 'weighted_rho': 0.14896985437938917, 'rho': 0.5599211768052903, 'sign': 'positive'}
IFN_y IL_1RA {'unsigned_weighted_rho': 0.05491480996068152, 'weighted_rho': -0.05491480996068152, 'rho': -0.2064039408866995, 'sign': 'negative'}
IFN_y Osteocalcin {'unsigned_weighted_rho': 0.03302752293577982, 'weighted_rho': -0.03302752293577982, 'rho': -0.12413793103448276, 'sign': 'negative'}
IFN_y IL_15 {'unsigned_weighted_rho': 0.1288335517693316, 'weighted_rho': 0.1288335517693316, 'rho': 0.48423645320197045, 'sign': 'positive'}
IFN_y VEGF_D {'unsigned_weighted_rho': 0.0562291856090926, 'weighted_rho': -0.0562291856090926, 'rho': -0.2113441803927963, 'sign': 'negative'}
IFN_y IL_2 {'unsigned_weighted_rho': 0.14969078196327534, 'weighted_rho': 0.14969078196327534, 'rho': 0.562630870137828, 'sign': 'positive'}
IFN_y VEGF {'unsigned_weighted_rho': 0.0562291856090926, 'weighted_rho': -0.0562291856090926, 'rho': -0.2113441803927963, 'sign': 'negative'}
IFN_y HGF {'unsigned_weighted_rho': 0.1959370904325033, 'weighted_rho': 0.1959370904325033, 'rho': 0.7364532019704434, 'sign': 'positive'}
IFN_y I_TAC {'unsigned_weighted_rho': 0.13328964613368283, 'weighted_rho': 0.13328964613368283, 'rho': 0.5009852216748768, 'sign': 'positive'}
IFN_y IL_4 {'unsigned_weighted_rho': 0.15288414711446782, 'weighted_rho': 0.15288414711446782, 'rho': 0.5746335184647239, 'sign': 'positive'}
IL_10 MIP_1a {'unsigned_weighted_rho': 0.12191731592044862, 'weighted_rho': 0.12191731592044862, 'rho': 0.4582409460458241, 'sign': 'positive'}
IL_10 Eotaxin {'unsigned_weighted_rho': 0.15690005780213712, 'weighted_rho': 0.15690005780213712, 'rho': 0.589727803463205, 'sign': 'positive'}
IL_10 IL_1RA {'unsigned_weighted_rho': 0.17577525272570246, 'weighted_rho': 0.17577525272570246, 'rho': 0.660672501624192, 'sign': 'positive'}
IL_10 Osteocalcin {'unsigned_weighted_rho': 0.054528340890299946, 'weighted_rho': -0.054528340890299946, 'rho': -0.20495135024285152, 'sign': 'negative'}
IL_10 MIG {'unsigned_weighted_rho': 0.14353012806461166, 'weighted_rho': -0.14353012806461166, 'rho': -0.5394753089325058, 'sign': 'negative'}
IL_10 VEGF_D {'unsigned_weighted_rho': 0.1752046886182713, 'weighted_rho': 0.1752046886182713, 'rho': 0.6585279675652266, 'sign': 'positive'}
IL_10 IL_8 {'unsigned_weighted_rho': 0.15955784521815156, 'weighted_rho': 0.15955784521815156, 'rho': 0.599717418233742, 'sign': 'positive'}
IL_10 VEGF {'unsigned_weighted_rho': 0.1752046886182713, 'weighted_rho': 0.1752046886182713, 'rho': 0.6585279675652266, 'sign': 'positive'}
IL_10 HGF {'unsigned_weighted_rho': 0.11987059553889255, 'weighted_rho': 0.11987059553889255, 'rho': 0.45054810047376853, 'sign': 'positive'}
IL_10 IP_10 {'unsigned_weighted_rho': 0.14634829952889394, 'weighted_rho': 0.14634829952889394, 'rho': 0.5500677465051531, 'sign': 'positive'}
IL_10 IL_1b {'unsigned_weighted_rho': 0.21948967985770976, 'weighted_rho': 0.21948967985770976, 'rho': 0.824978451878978, 'sign': 'positive'}
IL_10 RANTES {'unsigned_weighted_rho': 0.16646873300644455, 'weighted_rho': 0.16646873300644455, 'rho': 0.6256928240587053, 'sign': 'positive'}
IL_10 EGF {'unsigned_weighted_rho': 0.15388033967067677, 'weighted_rho': 0.15388033967067677, 'rho': 0.5783778284173713, 'sign': 'positive'}
IL_10 IL_5 {'unsigned_weighted_rho': 0.09648510163166686, 'weighted_rho': -0.09648510163166686, 'rho': -0.3626508992362651, 'sign': 'negative'}
IL_12 MIP_1b {'unsigned_weighted_rho': 0.11834862385321102, 'weighted_rho': -0.11834862385321102, 'rho': -0.44482758620689655, 'sign': 'negative'}
IL_12 FGF_basic {'unsigned_weighted_rho': 0.07409544273606856, 'weighted_rho': -0.07409544273606856, 'rho': -0.27849666407694734, 'sign': 'negative'}
IL_12 TNF_a {'unsigned_weighted_rho': 0.13677962432458654, 'weighted_rho': 0.13677962432458654, 'rho': 0.5141027259096528, 'sign': 'positive'}
