IFN_y HGF {'unsigned_weighted_rho': 0.13508287799332575, 'weighted_rho': 0.13508287799332575, 'rho': 0.47932634126663975, 'sign': 'positive'}
IFN_y GM_CSF {'unsigned_weighted_rho': 0.18001576882173895, 'weighted_rho': 0.18001576882173895, 'rho': 0.6387656313029447, 'sign': 'positive'}
IFN_y Cortisol {'unsigned_weighted_rho': 0.0707544532343574, 'weighted_rho': -0.0707544532343574, 'rho': -0.35377226617178703, 'sign': 'negative'}
IFN_y IL_4 {'unsigned_weighted_rho': 0.14272837600387214, 'weighted_rho': 0.14272837600387214, 'rho': 0.5064555277556754, 'sign': 'positive'}
IL_10 MIP_1a {'unsigned_weighted_rho': 0.17064220270206518, 'weighted_rho': 0.17064220270206518, 'rho': 0.6055045902331345, 'sign': 'positive'}
IL_10 MIP_1b {'unsigned_weighted_rho': 0.14787072173642046, 'weighted_rho': 0.14787072173642046, 'rho': 0.5247025610002016, 'sign': 'positive'}
IL_10 Cortisol {'unsigned_weighted_rho': 0.10836158192090395, 'weighted_rho': -0.10836158192090395, 'rho': -0.5418079096045197, 'sign': 'negative'}
IL_10 FGF_basic {'unsigned_weighted_rho': 0.17401112313403747, 'weighted_rho': 0.17401112313403747, 'rho': 0.617458824024004, 'sign': 'positive'}
IL_10 MDC {'unsigned_weighted_rho': 0.08125819176288818, 'weighted_rho': -0.08125819176288818, 'rho': -0.2883355191586355, 'sign': 'negative'}
IL_10 IL_1RA {'unsigned_weighted_rho': 0.21360107890678087, 'weighted_rho': 0.21360107890678087, 'rho': 0.7579393122498677, 'sign': 'positive'}
IL_10 VEGF_D {'unsigned_weighted_rho': 0.22466021650512696, 'weighted_rho': 0.22466021650512696, 'rho': 0.7971814134052893, 'sign': 'positive'}
IL_10 I_TAC {'unsigned_weighted_rho': 0.1006351451832692, 'weighted_rho': -0.1006351451832692, 'rho': -0.3570924506503101, 'sign': 'negative'}
IL_10 IL_15 {'unsigned_weighted_rho': 0.20139261444705278, 'weighted_rho': 0.20139261444705278, 'rho': 0.7146189544895422, 'sign': 'positive'}
IL_10 MIG {'unsigned_weighted_rho': 0.11995527469332654, 'weighted_rho': -0.11995527469332654, 'rho': -0.42564774891180385, 'sign': 'negative'}
IL_10 G_CSF {'unsigned_weighted_rho': 0.12758698774726146, 'weighted_rho': 0.12758698774726146, 'rho': 0.45272802103866977, 'sign': 'positive'}
IL_10 IL_8 {'unsigned_weighted_rho': 0.14065281738759974, 'weighted_rho': 0.14065281738759974, 'rho': 0.4990906423430959, 'sign': 'positive'}
IL_10 VEGF {'unsigned_weighted_rho': 0.22466021650512696, 'weighted_rho': 0.22466021650512696, 'rho': 0.7971814134052893, 'sign': 'positive'}
IL_10 MCP_1 {'unsigned_weighted_rho': 0.07091624008397514, 'weighted_rho': -0.07091624008397514, 'rho': -0.25163827126571825, 'sign': 'negative'}
IL_10 HGF {'unsigned_weighted_rho': 0.12662920485693954, 'weighted_rho': 0.12662920485693954, 'rho': 0.4493294365891403, 'sign': 'positive'}
IL_10 IL_1b {'unsigned_weighted_rho': 0.24269492099251427, 'weighted_rho': 0.24269492099251427, 'rho': 0.8611755261024701, 'sign': 'positive'}
IL_10 RANTES {'unsigned_weighted_rho': 0.17547223507957949, 'weighted_rho': 0.17547223507957949, 'rho': 0.6226434147985079, 'sign': 'positive'}
IL_10 IL_6 {'unsigned_weighted_rho': 0.2158172114094051, 'weighted_rho': 0.2158172114094051, 'rho': 0.7658030082269214, 'sign': 'positive'}
IL_10 EGF {'unsigned_weighted_rho': 0.15948591585681043, 'weighted_rho': 0.15948591585681043, 'rho': 0.565917765943521, 'sign': 'positive'}
IL_10 Eotaxin {'unsigned_weighted_rho': 0.16018660320250472, 'weighted_rho': 0.16018660320250472, 'rho': 0.5684040758798555, 'sign': 'positive'}
IL_12 ACTH {'unsigned_weighted_rho': 0.07871259175607002, 'weighted_rho': -0.07871259175607002, 'rho': -0.3935629587803501, 'sign': 'negative'}
IL_12 I_TAC {'unsigned_weighted_rho': 0.12511363636363637, 'weighted_rho': -0.12511363636363637, 'rho': -0.4439516129032258, 'sign': 'negative'}
IL_12 Deoxycorticosterone {'unsigned_weighted_rho': 0.09384528514963297, 'weighted_rho': -0.09384528514963297, 'rho': -0.46922642574816487, 'sign': 'negative'}
CTX Eotaxin {'unsigned_weighted_rho': 0.09990430622009569, 'weighted_rho': -0.09990430622009569, 'rho': -0.2817813765182186, 'sign': 'negative'}
CTX IL_1RA {'unsigned_weighted_rho': 0.1268181818181818, 'weighted_rho': -0.1268181818181818, 'rho': -0.45, 'sign': 'negative'}
CTX Osteocalcin {'unsigned_weighted_rho': 0.5123295079174635, 'weighted_rho': 0.5123295079174635, 'rho': 0.6192994051749559, 'sign': 'positive'}
CTX VEGF_D {'unsigned_weighted_rho': 0.0865041640620063, 'weighted_rho': -0.0865041640620063, 'rho': -0.24398610376463314, 'sign': 'negative'}
CTX IL_8 {'unsigned_weighted_rho': 0.1074406762108891, 'weighted_rho': -0.1074406762108891, 'rho': -0.3812411091354129, 'sign': 'negative'}
CTX VEGF {'unsigned_weighted_rho': 0.0865041640620063, 'weighted_rho': -0.0865041640620063, 'rho': -0.24398610376463314, 'sign': 'negative'}
CTX Deoxycorticosterone {'unsigned_weighted_rho': 0.14376006111945963, 'weighted_rho': -0.14376006111945963, 'rho': -0.37651444578906096, 'sign': 'negative'}
CTX HGF {'unsigned_weighted_rho': 0.13893257785773233, 'weighted_rho': -0.13893257785773233, 'rho': -0.3918611170346296, 'sign': 'negative'}
CTX IP_10 {'unsigned_weighted_rho': 0.08363636363636362, 'weighted_rho': -0.08363636363636362, 'rho': -0.2967741935483871, 'sign': 'negative'}
